targetId,diseaseId,score
ENSG00000101901,EFO_0003847,0.0
ENSG00000101901,HP_0001249,0.0
ENSG00000101997,EFO_0003847,0.0
ENSG00000101997,HP_0001249,0.0
ENSG00000102001,HP_0002269,0.0
ENSG00000102030,Orphanet_183763,0.0
ENSG00000102290,Orphanet_1020,0.0
ENSG00000102302,EFO_0003847,0.0
ENSG00000102302,HP_0001249,0.0
ENSG00000102805,EFO_0003847,0.0
ENSG00000102805,HP_0001249,0.0
ENSG00000103197,EFO_0003756,0.0
ENSG00000103197,EFO_0003833,0.0
ENSG00000103343,HP_0001657,0.0
ENSG00000103642,HP_0002269,0.0
ENSG00000103852,Orphanet_140997,0.0
ENSG00000103855,HP_0001657,0.0
ENSG00000103876,MONDO_0004741,0.0
ENSG00000104313,Orphanet_91492,0.0
ENSG00000104320,EFO_0009649,0.0
ENSG00000104368,MONDO_0033947,0.0
ENSG00000104368,Orphanet_100054,0.0
ENSG00000104368,Orphanet_91378,0.0
ENSG00000104774,EFO_0003847,0.0
ENSG00000104774,HP_0001249,0.0
ENSG00000104899,Orphanet_570,0.0
ENSG00000104960,HP_0001657,0.0
ENSG00000105127,HP_0001657,0.0
ENSG00000105176,HP_0002269,0.0
ENSG00000105204,HP_0002269,0.0
ENSG00000105205,HP_0002269,0.0
ENSG00000105409,EFO_0003847,0.0
ENSG00000105409,HP_0001249,0.0
ENSG00000105419,HP_0002269,0.0
ENSG00000105464,EFO_0003847,0.0
ENSG00000105464,HP_0001249,0.0
ENSG00000105607,EFO_0003847,0.0
ENSG00000105607,HP_0001249,0.0
ENSG00000105613,EFO_0003847,0.0
ENSG00000105613,HP_0001249,0.0
ENSG00000105976,EFO_0003847,0.0
ENSG00000105976,HP_0001249,0.0
ENSG00000105976,Orphanet_79383,0.0
ENSG00000105991,EFO_0003847,0.0
ENSG00000105991,HP_0001249,0.0
ENSG00000106009,EFO_0003847,0.0
ENSG00000106009,HP_0001249,0.0
ENSG00000106153,Orphanet_100031,0.0
ENSG00000106211,Orphanet_100045,0.0
ENSG00000106258,EFO_0000537,0.0
ENSG00000106479,HP_0001657,0.0
ENSG00000106608,EFO_0002950,0.0
ENSG00000107099,EFO_0002950,0.0
ENSG00000107099,EFO_0003847,0.0
ENSG00000107099,HP_0001249,0.0
ENSG00000107104,HP_0002269,0.0
