size
108
515
2
2
50
7
3081
16
12
319
3
8
668
467
73
93
4
64
86
1261
384
3
2
447
8
2
4
3
33
511
3
16
2
220
53
8
444
269
16
3
179
1318
5
80
3
209
466
5
285
196
577
136
38
112
1850
1255
4
962
4
272
69
173
4
947
2
37
9
2
2
18
139
2173
2
26
2
3
15
86
14
1264
3
12
2
366
2
306
282
71
12
1042
136
111
13
100
54
12
45
30
4
18787
20
29
2
7
5
7
3
7
122
147
2
29
6
27
94
57
49
671
182
10
4
78
148
220
2
193
6
699
112
32
7
15
1558
93
503
9
1301
24
188
645
2
226
154
2
2
204
189
20
200
54
46
2
8
163
41
2
8
2
509
12
552
521
20
6
1103
3
208
3
2
9
3
64
177
632
6
15
217
2
246
2605
42
97
2
222
2
4
120
477
8
3874
2386
3
7
542
1225
7
21
92
239
57
6
2869
315
57
16
169
242
145
1373
451
2
39
2
251
7
12
11
10
3
1321
442
75
36
116
8
128
8
2
10
429
348
27
131
285
110
82
13
235
4
5
2
195
466
2683
443
801
114
1523
5
602
2876
35
23
21
94
34
107
2112
12
148
273
2
10
72
2
3
5
15
650
6
8
1668
4
68
3
526
5
6
5
7
139
6
3132
2
140
79
294
12
154
117
102
7
12
53
6
3
5
152
4
267
5
9
45
6
1271
232
56
2
7
10
9
19
556
5
6
848
8
60
19
157
20
2
6
99
239
21
11
293
34
69
25
426
56
6
6
2
19
13
197
18
398
4
13
25
290
4
520
18
19
73
16
712
52
29
18
15
23
163
44
36
2
459
308
30
3
16
144
34
57
337
319
55
74
177
50
2
334
10
8
9
38
4
48
1351
98
26
175
10
8
2
36
7
387
22
3
194
875
9
1334
380
4
7
13
250
51
6133
454
2
210
435
41
7
353
25
2
7
190
117
102
139
1756
6
6
2
293
11
38
178
191
14
222
124
2
148
54
4
45
5141
122
3
139
53
11
2
285
30
30
2
203
4
2
5
51
146
2
2
290
1334
16
1303
2
10
51
352
8
4
172
163
7
4
2
2
135
13
4
92
9
7
18
107
5
11
40
16
2
145
643
158
3
2
298
250
10
6
80
15
36
638
94
2
2
116
2
5
709
105
267
167
289
2592
150
28
480
2
4
2
208
6
8
28
6
9
5604
364
94
15
455
24
104
392
5
13
199
113
16
117
4266
18
488
39
4
37
1107
13
22
7
5
2
90
2
72
1197
11
27
112
6
3
2
4
32
124
138
4
329
2
112
13
684
2
56
210
2
322
375
65
175
72
7
2
11
223
23
16
5
9
349
12
9
17
47
220
221
11
17
6
7
2
2
317
578
2
16
57
103
5
249
3
4
50
167
54
9
11
44
2
160
373
31
557
25
31
157
47
479
18
3
24
1105
128
387
455
129
9
17
1422
66
524
20
166
58
46
8
4
4251
79
2
25
3
2
995
2
254
254
3
882
2
234
38
19
501
372
16
200
3
6
39
86
6519
76
4
12
3
19
5
10
289
213
15
10
228
10
165
24
4
43
666
6857
5
35
249
29
2
119
148
9
26
3
4
78
3
126
4
4
2
2
6
146
120
240
33
69
55
100
50
5
18
173
6
72
40
6
202
983
137
5
3
82
2
2
80
112
78
162
30
4
19
26
158
5
4
538
12
21
82
748
2
2
11
8
134
8
40
31
10
463
76
109
248
80
38
260
23
142
119
2
5
345
330
2
4133
15
10
25
228
18
258
6
4
11
104
7
10
328
4
29
2
73
55
77
82
7
39
2
17
330
2
83
70
110
5
509
81
38
2
4
17
4
531
426
2
69
38
235
9
57
236
213
191
81
132
2
6
23
334
3
5
43
539
398
6
20
5
78
5
409
318
617
3
85
23
19
18
2
10
6
23
3
14
40
7
359
2
5
17
2
2
201
32
410
609
20
118
4
7
50
2
2
6
25
128
49
86
248
224
2
46
115
74
25
223
119
3
174
58
21
5
15
80
2
585
117
79
122
106
256
210
5
473
18
183
101
179
18
4
220
9
349
87
46
178
2
31
11
82
5
183
330
165
3
5
7890
12
6
60
2
201
5
51
3
656
6
191
4
124
2
3
120
147
1611
41
5
163
2
10
13
53
5
31
37
314
4
267
202
68
50
4
1329
53
635
294
38
6
328
3280
8
5
177
7
148
10
2
531
6
442
315
165
49
2
4
10
12
143
37
127
209
590
5
292
28
174
69
3
14
10
212
157
12
9
13
197
3
10
394
119
3
29
2
13
5
24
67
3
1020
5
22
5
292
120
45
80
92
680
770
629
2
181
53
186
2
30
2
405
39
10
199
369
99
74
2
187
8
137
75
339
148
4
128
14
9
13
4
2
13
10
1419
3
84
112
31
38
2051
140
98
24
40
104
600
32
63
4
5
79
519
124
4
426
2
3
12
16
1015
61
5
186
77
6
17
73
2
153
235
2
5
2
2
1118
3
2
904
18
493
2
2
123
835
1132
24
268
805
14
6
872
14
1787
93
41
104
13
285
1252
16
71
30
115
212
71
18
22
769
1808
2
13
2009
3
491
329
443
44
46
16
1298
171
10
11
4
6
93
140
156
5
25
14
194
21
2
3
14
3
181
1864
110
177
183
74
200
25
130
7
12
623
72
12
6
2
12
98
384
791
42
1557
629
60
616
36
4
43
6
7
355
345
268
41
774
135
38
136
3
965
13
134
2
187
71
21
6
102
7
12
31
242
387
604
398
135
4
162
25
15
33
82
19
350
110
6
5
12
10
422
435
4
6
588
150
104
18
7
18
6
8
10
260
3
81
268
133
728
4
92
666
6
60
49
4
14
1749
386
29
9
407
565
190
9
2
37
3
61
159
2
21
17
4
46
4
50
1340
21
122
109
121
34
120
13
2
2080
4
42
181
72
113
22
12
4
16
243
192
3
12
58
16
15
6
38
142
404
3
84
9
37
34
12
395
6
423
7
337
140
636
9
239
16
4
83
861
41
33
42
651
11
7
7
19
2
8
138
24
8
52
3
4
18
19
96
34
217
4
995
107
285
536
4
46
2
3
179
5
2629
26
6
17
139
278
14
3
21
2
417
6
2
11
15
10
7
183
108
143
826
363
